,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
KOSCIUSKO/UNITED STATES OF AMERICA,42500224776.000000,33.058300,-89.579700,125.000000,6.160952,8.475238,12.849524,16.794286,21.131905,25.190000,26.560000,26.417143,22.931818,17.240500,11.725909,7.014348
LAUREL/UNITED STATES OF AMERICA,42500224939.000000,31.675600,-89.123600,68.600000,8.490385,10.804000,14.336154,18.162692,22.364800,25.775200,27.312308,26.907308,24.255600,18.241538,13.493704,9.267692
LOUISVILLE/UNITED STATES OF AMERICA,42500225247.000000,33.135300,-89.071100,177.100000,6.504400,8.839167,13.151923,16.796000,21.664800,25.483750,26.912500,26.595833,23.325652,17.726667,12.255833,7.954400
MONTICELLO/UNITED STATES OF AMERICA,42500225987.000000,31.551900,-90.105800,58.200000,8.450500,11.101500,15.213889,19.354737,23.412000,26.909524,28.281905,28.087500,25.115238,19.696500,14.276000,10.542000
MOORHEAD/UNITED STATES OF AMERICA,42500226009.000000,33.451900,-90.509400,35.700000,6.237308,8.483846,13.046923,17.890370,22.445000,26.452400,27.912222,27.704231,24.417600,18.586800,12.788846,7.770000
NATCHEZ/UNITED STATES OF AMERICA,42500226177.000000,31.588900,-91.340800,59.400000,8.022500,9.647083,13.705417,17.464583,21.860800,25.274583,26.656538,26.516087,23.407600,17.965769,12.985000,8.845000
PASCAGOULA 3 NE/UNITED STATES OF AMERICA,42500226718.000000,30.396400,-88.478100,3.700000,,,,,,,,,,,,
PONTOTOC EXP STN/UNITED STATES OF AMERICA,42500227111.000000,34.138100,-88.998300,123.400000,4.924828,7.277931,11.738966,15.955862,20.766897,24.626897,26.353571,26.040000,22.568929,16.606897,11.276552,6.499310
POPLARVILLE EXP STN/UNITED STATES OF AMERICA,42500227128.000000,30.840800,-89.545300,95.400000,9.205714,11.220000,14.695517,18.165862,22.406552,25.489655,26.609259,26.373333,23.956207,18.940357,14.260000,10.145000
PORT GIBSON 1 NE/UNITED STATES OF AMERICA,42500227132.000000,31.985000,-90.971900,36.600000,8.029583,10.492083,14.306667,18.268750,22.339167,25.768800,27.408000,27.188846,24.159167,18.555714,13.621739,9.009130
STATE UNIV/UNITED STATES OF AMERICA,42500228374.000000,33.469200,-88.782200,56.400000,6.507273,8.845600,12.913600,17.256800,22.025455,25.899565,27.806667,27.353636,23.949091,17.517273,12.817391,7.416190
UNIVERSITY/UNITED STATES OF AMERICA,42500229079.000000,34.380300,-89.535800,124.400000,5.375714,7.962143,12.153571,16.416429,21.211111,25.402857,27.148571,26.568214,23.007143,17.002143,11.811786,6.370370
WATER VALLEY/UNITED STATES OF AMERICA,42500229400.000000,34.158300,-89.631100,94.500000,4.991200,7.448519,11.721786,15.640741,20.539231,24.725556,26.436154,26.326400,22.666400,16.466400,11.446296,6.263462
WAVELAND/UNITED STATES OF AMERICA,42500229426.000000,30.294700,-89.383100,2.400000,10.471250,12.138800,15.339130,18.800000,23.162400,26.127917,27.310435,27.225600,24.937391,19.991600,14.877917,11.317083
WAYNESBORO 2 W/UNITED STATES OF AMERICA,42500229439.000000,31.677200,-88.670800,61.000000,8.554615,10.777778,14.723846,18.130000,22.549231,26.086667,27.481154,27.355185,24.383462,18.694615,13.540000,9.523600
WOODVILLE 4 ESE/UNITED STATES OF AMERICA,42500229793.000000,31.092800,-91.232800,121.900000,8.951250,11.212222,14.647308,18.450385,22.650800,25.764400,27.063200,26.984348,24.182500,19.423704,14.738846,10.261250
YAZOO CITY 5 NNE/UNITED STATES OF AMERICA,42500229860.000000,32.902800,-90.381700,32.600000,9.042759,11.117407,15.354643,19.889286,24.267037,27.835769,29.393929,29.219643,26.039310,20.245357,14.858621,10.198214
APPLETON CITY/UNITED STATES OF AMERICA,42500230204.000000,38.186900,-94.028100,259.700000,-0.443214,2.397857,7.748214,13.176552,18.275517,23.191034,25.609310,25.121786,20.294138,13.980385,7.546786,0.833214
BOWLING GREEN 1 E/UNITED STATES OF AMERICA,42500230856.000000,39.344700,-91.171100,270.400000,-3.461111,0.898889,5.646667,11.741176,17.056471,22.178889,24.577222,23.577222,18.824211,12.537368,6.384444,-1.079412
BRUNSWICK/UNITED STATES OF AMERICA,42500231037.000000,39.424700,-93.133100,201.800000,-2.162273,1.070000,6.432727,12.810000,17.767619,22.774091,25.042609,24.160435,19.442917,13.271667,6.450417,-0.287083
CARUTHERSVILLE/UNITED STATES OF AMERICA,42500231364.000000,36.168600,-89.664200,82.300000,3.227273,6.016500,10.581500,15.711667,21.269565,25.345217,27.380909,26.627273,22.458636,16.545455,10.280952,4.452000
CLINTON/UNITED STATES OF AMERICA,42500231711.000000,38.395000,-93.771100,234.700000,-0.826087,2.181200,7.242083,13.099600,18.262174,23.249200,26.051667,25.076000,20.221250,13.964400,7.488333,0.862400
CONCEPTION/UNITED STATES OF AMERICA,42500231822.000000,40.239400,-94.683300,337.700000,-3.474286,-0.760714,5.414074,11.579286,16.865000,21.995185,24.503704,23.666552,19.134643,12.538214,5.240714,-2.022963
DONIPHAN/UNITED STATES OF AMERICA,42500232289.000000,36.620600,-90.812500,88.100000,1.945217,4.259130,9.363043,14.331739,19.003478,24.003478,25.977500,25.560000,20.835000,14.420870,8.838696,2.791364
FARMINGTON/UNITED STATES OF AMERICA,42500232809.000000,37.792200,-90.410300,282.900000,-0.263636,2.496818,7.381739,13.039545,17.601818,22.383913,24.652917,23.861667,19.339167,13.623478,7.217273,1.506364
JEFFERSON CITY WTP/UNITED STATES OF AMERICA,42500234271.000000,38.585000,-92.182500,204.200000,-0.400370,1.973929,7.240741,13.240385,17.872963,22.920741,25.537143,24.950370,20.144231,13.910741,7.556538,0.704615
LAMAR/UNITED STATES OF AMERICA,42500234705.000000,37.499400,-94.269700,298.700000,0.374138,3.077931,8.063793,13.581111,18.385357,23.058966,25.661724,25.371379,20.572759,14.280345,8.203448,2.002759
LEBANON 2W/UNITED STATES OF AMERICA,42500234825.000000,37.685000,-92.693600,389.800000,-0.840000,0.384286,8.372857,13.155000,17.906250,22.035000,25.343333,24.398333,19.858333,12.758333,6.891667,0.556000
LEES SUMMIT REED WR/UNITED STATES OF AMERICA,42500234850.000000,38.880300,-94.335800,304.800000,-2.333000,0.730476,6.262857,11.395000,17.036842,22.117500,24.752857,23.828182,19.199091,12.914091,5.685000,-0.435714
LEXINGTON 3E/UNITED STATES OF AMERICA,42500234904.000000,39.182800,-93.855000,251.500000,-1.202500,1.406786,7.001923,13.039231,17.920385,22.934800,25.214615,24.262800,19.920385,13.506800,6.704074,0.485000
LOCKWOOD/UNITED STATES OF AMERICA,42500235027.000000,37.390800,-93.948900,326.100000,0.405385,3.160741,8.188519,13.245556,18.279259,23.001111,25.610769,25.431481,20.497692,14.260769,8.308846,1.836538
MARBLE HILL/UNITED STATES OF AMERICA,42500235253.000000,37.303600,-89.966400,118.900000,0.677857,3.299333,8.455517,13.899310,18.614667,23.224333,25.425667,24.863793,20.371333,14.311034,8.169667,2.303333
MEXICO/UNITED STATES OF AMERICA,42500235541.000000,39.175600,-91.886100,244.400000,-0.802083,1.187600,7.147308,13.446400,18.461667,23.532000,25.939600,24.951667,20.265217,13.908636,7.437826,0.364545
MOBERLY/UNITED STATES OF AMERICA,42500235671.000000,39.419400,-92.436900,262.100000,-2.108800,0.286250,6.383333,12.152800,17.596667,22.674400,25.210400,24.276400,19.347200,13.142000,6.577917,-0.184000
MTN GROVE 2 N/UNITED STATES OF AMERICA,42500235834.000000,37.152800,-92.263600,442.000000,0.573200,3.323462,7.776538,13.333462,17.924815,22.517407,24.929615,24.782593,20.196923,13.922222,8.247692,1.542692
NEOSHO/UNITED STATES OF AMERICA,42500235976.000000,36.863900,-94.360000,308.200000,2.306552,4.796897,9.544138,14.805000,19.615667,24.086667,26.643448,26.363103,21.500000,15.454483,9.652069,3.440000
ROLLA UNI OF MISSOUR/UNITED STATES OF AMERICA,42500237263.000000,37.957200,-91.775800,355.700000,0.017667,2.599000,7.649333,13.787241,18.535333,23.237667,25.779667,25.231333,20.499000,14.266333,8.158000,1.419000
SPICKARD 7 W/UNITED STATES OF AMERICA,42500237963.000000,40.247200,-93.715800,266.700000,-3.619130,-1.134583,4.429600,10.961304,16.395000,21.830417,24.308800,23.530417,18.406522,11.808182,5.236250,-2.292083
STEFFENVILLE/UNITED STATES OF AMERICA,42500238051.000000,39.971400,-91.887200,210.300000,-3.734667,-1.431667,4.828000,11.006897,16.427500,21.388966,23.759000,22.832333,18.201786,11.959000,4.822667,-2.098667
SWEET SPRINGS/UNITED STATES OF AMERICA,42500238223.000000,38.966400,-93.419400,205.700000,-2.163077,1.021481,6.326667,12.311154,17.486296,22.561600,24.903704,23.948889,19.163704,12.750370,6.186538,-0.410000
TRUMAN DAM & RSVR/UNITED STATES OF AMERICA,42500238466.000000,38.258100,-93.398900,192.600000,-1.110000,0.812500,9.112500,14.585000,18.232500,22.635000,26.692500,24.230000,20.590000,14.254000,7.657500,1.236667
WARRENTON 1 N/UNITED STATES OF AMERICA,42500238725.000000,38.835000,-91.138600,252.100000,-0.492174,1.380000,6.735417,12.793750,17.499565,22.677826,24.772609,24.162609,19.315000,13.075238,7.636364,0.601667
ANACONDA/UNITED STATES OF AMERICA,42500240199.000000,46.131400,-112.956900,1609.300000,-4.440000,-3.317200,0.756250,4.222400,9.189200,13.214167,17.781154,16.850385,11.761154,5.467308,-1.452692,-5.760000
AUGUSTA/UNITED STATES OF AMERICA,42500240364.000000,47.493100,-112.396400,1240.500000,-3.661905,-2.531579,1.390526,5.865789,10.861429,15.068261,18.666087,18.013750,13.002083,6.939048,-0.321111,-3.701176
BIG TIMBER/UNITED STATES OF AMERICA,42500240780.000000,45.832800,-109.950300,1249.700000,-2.660000,-1.416296,2.778889,6.538148,11.605556,16.317407,20.353704,19.653214,13.693571,7.661429,1.242143,-3.361111
BOZEMAN MONTANA ST U/UNITED STATES OF AMERICA,42500241044.000000,45.662200,-111.045300,1497.500000,-5.449643,-3.945357,0.467500,4.742500,9.560000,13.780000,18.250000,17.576786,12.023333,5.904286,-1.425357,-6.554643
CASCADE 5 S/UNITED STATES OF AMERICA,42500241552.000000,47.219400,-111.710000,1024.100000,-2.723333,-1.653333,2.146667,6.850000,11.542333,15.727000,19.506000,18.815333,13.599000,8.055862,1.624333,-2.887000
CHINOOK/UNITED STATES OF AMERICA,42500241722.000000,48.588300,-109.225600,737.600000,-8.531034,-5.780667,0.440333,7.110000,12.352759,17.163448,20.486333,19.557241,13.295667,6.530741,-1.621724,-7.630000
CHOTEAU/UNITED STATES OF AMERICA,42500241737.000000,47.820600,-112.191900,1172.000000,-4.343929,-3.539643,0.646296,5.157857,10.135357,14.283571,17.785556,17.060800,12.062143,6.380000,-0.538571,-4.278462
CUT BANK AP/UNITED STATES OF AMERICA,42500242173.000000,48.603300,-112.375300,1169.800000,-5.755926,-4.324815,-0.754444,4.692222,9.557778,14.106667,17.998214,17.393214,11.890000,5.801429,-1.250714,-5.518621
DILLON WMCE/UNITED STATES OF AMERICA,42500242409.000000,45.212800,-112.644700,1593.500000,-5.523793,-3.789310,0.488621,4.524138,9.331379,13.498276,17.461724,16.181724,11.536000,5.585172,-1.466552,-6.515517
EKALAKA/UNITED STATES OF AMERICA,42500242689.000000,45.890300,-104.546100,1043.900000,-7.148000,-5.262400,0.066800,5.829167,11.455600,17.085769,21.164231,20.174444,13.524000,6.652800,-0.957308,-6.984000
ENNIS/UNITED STATES OF AMERICA,42500242793.000000,45.339400,-111.711100,1509.700000,-5.168571,-3.680714,0.419655,4.475000,9.286071,13.306897,17.326897,16.404286,11.328621,5.495172,-0.906429,-5.855714
FLATWILLOW 4 ENE/UNITED STATES OF AMERICA,42500243013.000000,46.851100,-108.313300,954.900000,-4.527917,-2.826800,2.066800,7.221600,11.975000,16.922917,20.850417,20.181250,14.247500,7.905000,0.663478,-4.791250
FT ASSINNIBOINE/UNITED STATES OF AMERICA,42500243110.000000,48.498300,-109.797200,796.400000,-8.671724,-6.105172,-0.208621,6.207037,11.573793,16.420690,20.005862,19.417143,13.030000,6.185517,-1.624667,-7.702000
FORTINE 1 N/UNITED STATES OF AMERICA,42500243139.000000,48.778300,-114.899700,914.400000,-5.538500,-2.912105,2.188000,6.271579,10.763333,14.437895,17.678421,17.521905,11.726000,5.386842,-1.637000,-5.862381
GLASGOW INTL AP/UNITED STATES OF AMERICA,42500243558.000000,48.213900,-106.621400,696.500000,-10.143667,-7.143000,-0.237667,7.116000,12.754667,17.727667,21.687000,21.176667,14.510333,7.001379,-1.528333,-8.766000
GLENDIVE/UNITED STATES OF AMERICA,42500243581.000000,47.106400,-104.718300,632.800000,-7.973793,-5.239643,1.282857,7.927500,13.733929,18.755000,23.050741,21.978148,15.485926,8.116552,-0.157241,-7.124138
GREAT FALLS AP/UNITED STATES OF AMERICA,42500243751.000000,47.473300,-111.382200,1116.800000,-3.967586,-2.536552,1.002759,5.968621,10.702500,15.313929,19.723571,19.044828,13.335172,7.198966,0.709655,-4.344138
HAMILTON/UNITED STATES OF AMERICA,42500243885.000000,46.255300,-114.164200,1080.500000,-2.550000,-0.493043,3.579091,7.299091,11.567727,15.593636,19.220909,18.476957,13.241739,7.074800,0.871250,-4.167917
HEBGEN DAM/UNITED STATES OF AMERICA,42500244038.000000,44.866700,-111.339200,1977.800000,-11.748519,-9.757692,-4.312308,0.847200,6.800000,11.384348,15.575833,14.916000,9.853077,3.044615,-4.747037,-11.554444
HELENA AP ASOS/UNITED STATES OF AMERICA,42500244055.000000,46.605600,-111.963600,1166.800000,-5.195000,-2.286071,2.062857,6.941071,11.927857,16.474643,20.885357,19.896429,14.132963,7.414815,0.427857,-5.867857
HUNTLEY EXP STN/UNITED STATES OF AMERICA,42500244345.000000,45.922800,-108.244400,924.800000,-3.524800,-1.694400,3.031200,7.626400,12.556923,17.122692,21.271538,20.485385,14.302800,7.601538,0.997200,-4.205833
HYSHAM 25 SSE/UNITED STATES OF AMERICA,42500244364.000000,45.935300,-107.137500,944.900000,-5.458000,-3.572727,1.197143,6.396190,12.024783,17.016190,21.408400,20.502500,14.091250,7.053182,-0.031667,-5.570952
JORDAN/UNITED STATES OF AMERICA,42500244522.000000,47.314400,-106.910300,798.600000,-7.923462,-5.268400,1.202174,7.174583,12.305769,17.546786,21.579286,20.706667,13.956250,7.087200,-1.131250,-7.371200
KALISPELL GLACIER AP/UNITED STATES OF AMERICA,42500244558.000000,48.304200,-114.263600,901.300000,-4.719565,-2.812500,1.655000,6.392609,10.618261,14.550833,18.337917,17.668333,12.325217,5.356957,-0.292174,-5.510870
LIBBY 1 NE RS/UNITED STATES OF AMERICA,42500245015.000000,48.403600,-115.539200,638.900000,-3.122400,-0.517308,3.545185,7.488462,12.305714,16.232963,19.426296,19.052222,13.705926,6.775385,0.600000,-3.778462
LIVINGSTON 12 S/UNITED STATES OF AMERICA,42500245080.000000,45.483600,-110.568900,1484.400000,-3.656800,-2.161923,1.728846,5.640769,10.153600,14.176296,18.131852,17.621852,12.472593,6.784444,0.684400,-4.271304
MALTA 7 E/UNITED STATES OF AMERICA,42500245338.000000,48.393900,-107.728600,680.000000,-7.688889,-5.412222,2.263704,8.946154,14.436154,19.045769,22.590000,21.472692,15.296154,8.619630,0.012963,-6.916296
MEDICINE LAKE 3 SE/UNITED STATES OF AMERICA,42500245572.000000,48.482800,-104.451400,591.900000,-11.703929,-8.215862,-1.771724,6.092143,12.189630,17.147857,20.455185,19.933704,13.430357,6.055517,-2.736552,-9.794074
MILDRED 5 N/UNITED STATES OF AMERICA,42500245668.000000,46.761400,-104.961900,757.100000,-7.881333,-4.690667,0.987586,7.219667,12.731333,17.814643,22.302069,21.381071,14.978333,7.589667,-0.367667,-6.955172
MILES CITY AP/UNITED STATES OF AMERICA,42500245690.000000,46.426700,-105.882500,799.800000,-6.643448,-3.724483,1.817931,8.158000,13.633667,19.094483,23.640667,22.913667,15.982667,8.411667,0.660345,-5.852500
MOCCASIN EXP STN/UNITED STATES OF AMERICA,42500245761.000000,47.057500,-109.951400,1310.600000,-3.387667,-2.846000,0.865000,5.092333,9.865667,14.240000,18.541333,18.325333,12.701000,6.985000,0.440333,-3.939667
NORRIS MADISON PH/UNITED STATES OF AMERICA,42500246157.000000,45.485600,-111.632500,1446.300000,-1.936667,-0.456207,3.181333,6.960000,11.920667,16.283333,21.052333,20.548966,15.154000,8.683000,2.289667,-2.290345
PHILIPSBURG RS/UNITED STATES OF AMERICA,42500246472.000000,46.315800,-113.300000,1606.300000,-4.940000,-4.205600,0.060833,3.369615,7.762800,11.814815,15.291154,14.936667,9.928800,4.682692,-1.585600,-6.092000
PLEVNA/UNITED STATES OF AMERICA,42500246601.000000,46.417800,-104.516400,847.300000,-8.620370,-5.725185,-0.011429,6.391071,12.182308,17.426538,21.538571,20.397143,14.124828,6.596071,-1.555357,-8.502069
RED LODGE/UNITED STATES OF AMERICA,42500246918.000000,45.179700,-109.249700,1718.200000,-3.953333,-3.210000,0.863913,5.260833,10.097917,14.480417,18.660833,17.902000,12.481818,6.726957,-0.090435,-4.396522
SAINT IGNATIUS/UNITED STATES OF AMERICA,42500247286.000000,47.315000,-114.098300,883.900000,-2.542000,-1.087407,3.299615,7.505600,11.774615,15.683077,19.562609,18.798000,13.582692,7.281154,0.958889,-3.279565
SAINT REGIS 1 NE/UNITED STATES OF AMERICA,42500247318.000000,47.303300,-115.090800,810.800000,-2.902593,-1.012963,3.152692,6.965000,11.387778,15.134615,18.342400,17.993600,13.207083,6.750000,0.662917,-3.568519
SAVAGE/UNITED STATES OF AMERICA,42500247382.000000,47.453600,-104.337800,602.000000,-9.081000,-5.768667,0.488667,7.575667,13.550345,18.388276,22.097586,21.273333,14.911724,7.549333,-0.750690,-8.075667
VALIER/UNITED STATES OF AMERICA,42500248501.000000,48.308900,-112.251100,1161.300000,-5.084483,-3.850690,0.311034,5.330000,10.416552,14.971724,18.430690,18.055517,12.648621,6.650000,-0.778333,-5.053667
VIDA 6 NE/UNITED STATES OF AMERICA,42500248569.000000,47.880000,-105.368600,696.200000,-10.764444,-7.512963,-0.438889,6.332308,12.223462,16.903846,20.953462,20.483077,13.701154,6.584400,-2.133600,-9.866800
VIRGINIA CITY/UNITED STATES OF AMERICA,42500248597.000000,45.292500,-111.948100,1759.600000,-4.540769,-3.338077,0.645000,4.499231,9.366923,13.779231,18.061111,17.371538,12.444615,6.289231,-0.512308,-4.978846
WHITE SULPHUR SPRNGS/UNITED STATES OF AMERICA,42500248930.000000,46.543600,-110.900000,1536.200000,-6.010000,-4.366522,-0.325652,3.800870,8.519167,13.559565,17.772381,17.035652,11.146000,5.153750,-1.599600,-6.718846
ALBION/UNITED STATES OF AMERICA,42500250070.000000,41.686700,-98.003600,545.600000,-4.952273,-2.436818,2.816364,9.290435,15.266522,21.042609,23.556190,22.466818,17.433810,10.396000,2.759048,-3.572857
ALLIANCE 1WNW/UNITED STATES OF AMERICA,42500250130.000000,42.110300,-102.896700,1217.400000,-3.005000,-1.171364,2.573182,7.793500,13.526842,18.897000,22.895500,22.320952,16.514286,8.845238,2.148421,-3.001429
ASHLAND NO 2/UNITED STATES OF AMERICA,42500250375.000000,41.040600,-96.377500,326.100000,-4.327667,-1.680667,4.467586,10.888276,16.562333,22.292667,24.732000,23.718000,18.806000,11.945357,4.099333,-2.827000
ATKINSON 3SW/UNITED STATES OF AMERICA,42500250420.000000,42.513600,-99.030300,637.000000,-5.366400,-3.450769,2.015385,8.271154,14.488889,19.840385,23.061538,21.942500,16.592222,9.526923,1.186000,-4.978400
AUBURN 5 ESE/UNITED STATES OF AMERICA,42500250435.000000,40.370300,-95.746700,283.500000,-3.748000,-0.989000,5.423667,11.918667,17.904000,23.100000,25.390000,24.270000,19.573333,12.685667,4.796000,-2.335000
BEATRICE 1N/UNITED STATES OF AMERICA,42500250622.000000,40.299400,-96.750000,395.300000,-3.725000,-1.122000,4.933000,10.906667,16.611333,22.351000,24.996667,23.941034,18.885517,12.077000,4.365333,-2.448000
BEAVER CITY/UNITED STATES OF AMERICA,42500250640.000000,40.130600,-99.827800,658.400000,-2.325333,-0.034667,5.278333,10.728000,16.513793,22.275333,25.420000,24.238667,18.994667,11.833667,4.009667,-2.230667
BRIDGEPORT/UNITED STATES OF AMERICA,42500251145.000000,41.667500,-103.104200,1117.400000,-2.618333,-0.663200,4.187600,8.294400,14.181250,19.466522,23.434348,22.396400,16.677600,9.650000,1.830400,-3.401667
BROKEN BOW 2 W/UNITED STATES OF AMERICA,42500251200.000000,41.408300,-99.675000,762.000000,-3.844286,-2.205517,2.973214,8.439000,14.080667,19.691379,22.824333,21.803103,16.575000,9.629655,2.051333,-3.728667
CRETE/UNITED STATES OF AMERICA,42500252020.000000,40.619400,-96.946900,437.400000,-3.985172,-1.411379,4.091429,10.362069,16.166000,21.590690,24.100357,22.875000,18.283333,11.656296,3.600000,-3.150667
CURTIS 3NNE/UNITED STATES OF AMERICA,42500252100.000000,40.674200,-100.493600,829.400000,-2.180455,0.310400,5.305385,10.892800,16.195455,21.940000,25.020000,23.902500,18.705833,11.536800,3.704400,-1.096522
DAVID CITY/UNITED STATES OF AMERICA,42500252205.000000,41.249200,-97.132800,490.700000,-5.295000,-2.410000,3.747143,10.011111,15.894074,21.596667,23.966071,22.931724,18.102414,11.201034,2.887037,-3.889286
FAIRBURY 5S/UNITED STATES OF AMERICA,42500252820.000000,40.073900,-97.166900,411.500000,-3.064444,-0.970741,5.149259,11.070000,16.383929,22.032143,24.852143,24.017931,18.917857,12.173704,4.354286,-2.147857
FAIRMONT/UNITED STATES OF AMERICA,42500252840.000000,40.642200,-97.592800,499.900000,-3.831250,-1.532800,4.215200,10.440400,16.184400,21.752000,24.226154,23.448077,18.427308,11.662000,4.037600,-2.887600
GENEVA/UNITED STATES OF AMERICA,42500253175.000000,40.531400,-97.596400,496.800000,-3.696333,-1.268667,4.304333,10.549333,16.397931,21.686000,24.118667,22.924667,18.358000,11.554667,3.711000,-2.871333
GENOA 2 W/UNITED STATES OF AMERICA,42500253185.000000,41.451400,-97.764400,484.600000,-5.161667,-2.817667,3.059333,9.558333,15.512759,20.768333,23.134000,21.801667,17.164667,10.178667,2.236667,-4.406000
GOTHENBURG/UNITED STATES OF AMERICA,42500253365.000000,40.940000,-100.152200,787.900000,-3.546429,-1.546207,3.375862,9.059655,15.098571,20.553793,23.608148,22.313571,17.075000,9.861724,2.365172,-3.587241
HARRISON/UNITED STATES OF AMERICA,42500253615.000000,42.685800,-103.884200,1478.300000,-4.402400,-2.802000,1.120000,5.435769,11.050000,16.382593,21.060370,19.858519,14.171538,6.948462,0.020000,-5.084000
HARTINGTON/UNITED STATES OF AMERICA,42500253630.000000,42.616700,-97.260800,417.600000,-5.877241,-3.437000,2.336667,9.242667,15.366000,20.726000,23.318000,22.200333,17.326333,10.499000,1.671852,-5.017000
HASTINGS 4N/UNITED STATES OF AMERICA,42500253660.000000,40.647500,-98.383300,591.300000,-3.883000,-1.595000,3.978000,10.085172,16.070690,21.601333,24.155667,23.008000,18.123103,11.128333,3.241724,-3.123000
HAY SPRINGS 12 S/UNITED STATES OF AMERICA,42500253715.000000,42.511900,-102.694400,1159.800000,-3.473478,-1.365000,2.723043,7.646087,13.198333,18.335417,22.194583,21.443200,15.628750,8.688261,1.066667,-3.653478
HEBRON/UNITED STATES OF AMERICA,42500253735.000000,40.175000,-97.590300,451.100000,-2.813750,-0.798750,5.442917,11.436667,16.722381,22.374348,25.296957,24.276087,19.010870,11.905217,4.700870,-2.398696
HOLDREGE/UNITED STATES OF AMERICA,42500253910.000000,40.451700,-99.380300,707.100000,-3.525357,-1.412414,3.830345,9.639286,15.219310,20.779655,23.479310,22.597667,17.717667,10.869667,3.117241,-2.740667
IMPERIAL/UNITED STATES OF AMERICA,42500254110.000000,40.520800,-101.655000,999.700000,-2.983846,-0.795385,3.472308,8.730400,14.439231,20.105833,23.603600,22.460769,17.128800,9.945000,2.276923,-2.982692
KIMBALL 2NE/UNITED STATES OF AMERICA,42500254440.000000,41.245300,-103.634400,1435.000000,-2.341304,-0.930435,2.389130,6.405000,11.913043,17.261304,21.467619,20.260000,15.194762,8.170000,2.033636,-3.121818
LODGEPOLE/UNITED STATES OF AMERICA,42500254900.000000,41.148900,-102.636100,1168.000000,-2.888571,-0.665714,3.498889,8.248519,14.008462,19.675556,23.916786,22.561786,16.720357,9.722593,1.890385,-3.175926
LOUP CITY/UNITED STATES OF AMERICA,42500254985.000000,41.280800,-98.968100,627.300000,-3.758400,-1.408000,4.079231,9.968400,15.446957,21.052174,24.118400,23.425600,17.972963,11.035926,3.668519,-2.689615
MADISON/UNITED STATES OF AMERICA,42500255080.000000,41.829200,-97.450000,481.600000,-5.637500,-2.939643,2.511481,9.103846,15.132308,20.778462,23.105000,22.242000,17.036071,10.251429,2.107143,-4.436071
MC COOK/UNITED STATES OF AMERICA,42500255310.000000,40.215600,-100.620300,796.100000,-2.064583,0.221538,4.780385,10.331600,15.371600,21.280000,24.425833,23.573846,18.437500,11.328846,3.674444,-1.792500
MERRIMAN/UNITED STATES OF AMERICA,42500255470.000000,42.919400,-101.708900,986.000000,-3.544167,-1.339583,2.558750,7.736250,13.418333,19.017826,22.850400,21.985200,16.523636,9.305000,2.113810,-3.685455
MINDEN/UNITED STATES OF AMERICA,42500255565.000000,40.515600,-98.951400,658.400000,-3.216923,-0.940385,4.298400,10.521852,16.084444,21.613704,24.527037,23.226296,18.312593,11.518077,3.211923,-2.704231
NORTH LOUP/UNITED STATES OF AMERICA,42500256040.000000,41.493300,-98.774700,597.400000,-5.104074,-3.210714,2.562857,8.656429,14.678214,19.800370,22.523571,21.157778,16.436923,9.520000,1.616154,-4.712593
OAKDALE/UNITED STATES OF AMERICA,42500256135.000000,42.067800,-97.967500,521.200000,-5.612069,-3.467241,2.530690,8.608621,14.462414,19.871034,22.563793,21.413448,16.237931,9.482414,1.679310,-4.436667
PAWNEE CITY/UNITED STATES OF AMERICA,42500256570.000000,40.121700,-96.155800,378.000000,-3.219643,-0.662143,5.238519,11.628846,17.316923,22.436296,25.003214,24.083571,18.964643,12.498148,4.880000,-1.546667
PURDUM/UNITED STATES OF AMERICA,42500256970.000000,42.065000,-100.247200,819.900000,-4.071154,-1.731923,2.822800,8.172000,14.020769,19.642500,23.120769,21.920769,16.547407,9.417308,2.421304,-3.487308
RED CLOUD/UNITED STATES OF AMERICA,42500257070.000000,40.097800,-98.519700,524.300000,-3.390690,-1.111333,4.480667,10.416333,15.948667,21.936667,24.911000,23.827333,18.411000,11.234000,3.504667,-2.620667
SAINT PAUL 4N/UNITED STATES OF AMERICA,42500257515.000000,41.268600,-98.469700,541.000000,-4.006296,-1.670370,3.813846,10.333200,16.404000,21.616296,24.456667,23.300800,18.139200,11.031667,2.822000,-3.556400
SEWARD/UNITED STATES OF AMERICA,42500257715.000000,40.900000,-97.090800,438.900000,-4.960667,-2.447333,3.425000,9.904667,15.962000,21.457000,23.971000,22.694828,17.870667,10.860357,2.891724,-3.926333
STAPLETON 5W/UNITED STATES OF AMERICA,42500258133.000000,41.458100,-100.598600,911.400000,-3.788889,-1.488800,3.314815,8.333077,13.936667,19.407778,22.899259,22.072692,16.551481,9.625926,1.892308,-3.843704
SYRACUSE/UNITED STATES OF AMERICA,42500258395.000000,40.682500,-96.188600,335.300000,-4.009655,-1.479310,4.975714,11.319286,16.900714,22.374643,24.776071,23.705000,18.882500,12.139643,4.268276,-2.271034
TECUMSEH 1S/UNITED STATES OF AMERICA,42500258465.000000,40.354400,-96.193900,338.300000,-3.792414,-1.359286,4.995357,10.841786,16.564444,22.043214,24.709643,23.717857,18.473571,11.957857,4.433214,-2.598966
